"mident","mois","actif","actifp","actifs","agea"
1102291001,18,1,1,0,35.166668
1102291001,19,1,1,0,35.25
1102291001,20,1,1,0,35.333332
1102291001,21,1,1,0,35.416668
1102291001,22,1,1,0,35.5
1102291001,23,1,1,0,35.583332
1102291001,24,1,1,0,35.666668
1102381001,13,1,1,0,55.833332
1102381001,14,1,1,0,55.916668
1102381001,15,1,1,0,56
1102381001,16,1,1,0,56.083332
1102381001,17,1,1,0,56.166668
1102381001,18,1,1,0,56.25
1102381001,19,1,1,0,56.333332
1102381001,20,1,1,0,56.416668
1102381001,21,1,1,0,56.5
1102381001,22,1,1,0,56.583332
1102381001,23,1,1,0,56.666668
1102381001,24,1,1,0,56.75
1102633001,13,1,1,0,29.416666
1102633001,14,1,1,0,29.5
1102633001,15,1,1,0,29.583334
1102633001,16,1,1,0,29.666666
1102633001,17,1,1,0,29.75
1102633001,18,1,1,0,29.833334
1102633001,19,1,1,0,29.916666
1102633001,20,1,1,0,30
1102633001,21,1,1,0,30.083334
1102633001,22,1,1,0,30.166666
1102633001,23,1,1,0,30.25
1102633001,24,1,1,0,30.333334
1102688001,13,1,1,0,38.833332
1102688001,14,1,1,0,38.916668
1102688001,15,1,1,0,39
1102688001,16,1,1,0,39.083332
1102688001,17,1,1,0,39.166668
1102688001,18,1,1,0,39.25
1102688001,19,1,1,0,39.333332
1102688001,20,1,1,0,39.416668
1102688001,21,1,1,0,39.5
1102688001,22,1,1,0,39.583332
1102688001,23,1,1,0,39.666668
1102688001,24,1,1,0,39.75
1102707001,13,1,1,0,35.083332
1102707001,14,1,1,0,35.166668
1102707001,15,1,1,0,35.25
1102707001,16,1,1,0,35.333332
1102707001,17,1,1,0,35.416668
1102707001,18,1,1,0,35.5
1102707001,19,1,1,0,35.583332
1102707001,20,1,1,0,35.666668
1102707001,21,1,1,0,35.75
1102707001,22,1,1,0,35.833332
1102707001,23,1,1,0,35.916668
1102707001,24,1,1,0,36
1102752001,13,1,1,0,47.333332
1102752001,14,1,1,0,47.416668
1102752001,15,1,1,0,47.5
1102752001,16,1,1,0,47.583332
1102752001,17,1,1,0,47.666668
1102752001,18,1,1,0,47.75
1102752001,19,1,1,0,47.833332
1102752001,20,1,1,0,47.916668
1102752001,21,1,1,0,48
1102752001,22,1,1,0,48.083332
1102752001,23,1,1,0,48.166668
1102752001,24,1,1,0,48.25
1102804001,13,1,1,0,25.083334
1102804001,14,1,1,0,25.166666
1102804001,15,1,1,0,25.25
1102804001,16,1,1,0,25.333334
1102804001,17,1,1,0,25.416666
1102804001,18,1,1,0,25.5
1102804001,19,1,1,0,25.583334
1102804001,20,1,1,0,25.666666
1102804001,21,1,1,0,25.75
1102804001,22,1,1,0,25.833334
1102804001,23,1,1,0,25.916666
1102804001,24,1,1,0,26
1102831001,13,1,1,0,52
1102831001,14,1,1,0,52.083332
1102831001,15,1,1,0,52.166668
1102831001,16,1,1,0,52.25
1102831001,17,1,1,0,52.333332
1102831001,18,1,1,0,52.416668
1102831001,19,1,1,0,52.5
1102831001,20,1,1,0,52.583332
1102831001,21,1,1,0,52.666668
1102831001,22,1,1,0,52.75
1102831001,23,1,1,0,52.833332
1102831001,24,1,1,0,52.916668
1102978001,13,1,1,0,27.833334
1102978001,14,1,1,0,27.916666
1102978001,15,1,1,0,28
1102978001,16,1,1,0,28.083334
1102978001,17,1,1,0,28.166666
1102978001,18,1,1,0,28.25
1102978001,19,1,1,0,28.333334
1102978001,20,1,1,0,28.416666
1102978001,21,1,1,0,28.5
1102978001,22,1,1,0,28.583334
1102978001,23,1,1,0,28.666666
1102978001,24,1,1,0,28.75
1103218001,13,1,1,0,29.833334
1103218001,14,1,1,0,29.916666
1103218001,15,1,1,0,30
1103218001,16,1,1,0,30.083334
1103218001,17,1,1,0,30.166666
1103218001,18,1,1,0,30.25
1103218001,19,1,1,0,30.333334
1103218001,20,1,1,0,30.416666
1103218001,21,1,1,0,30.5
1103218001,22,1,1,0,30.583334
1103218001,23,1,1,0,30.666666
1103218001,24,1,1,0,30.75
1103263001,13,1,1,0,40.666668
1103263001,14,1,1,0,40.75
1103263001,15,1,1,0,40.833332
1103263001,16,1,1,0,40.916668
1103263001,17,1,1,0,41
1103263001,18,1,1,0,41.083332
1103263001,19,1,1,0,41.166668
1103263001,20,1,1,0,41.25
1103263001,21,1,1,0,41.333332
1103263001,22,1,1,0,41.416668
1103263001,23,1,1,0,41.5
1103263001,24,1,1,0,41.583332
1103348001,13,0,0,0,49.75
1103348001,14,0,0,0,49.833332
1103348001,15,0,0,0,49.916668
